Bin,Content,X,Y,Depth,Mode,Type
100630,10,32,18,764,GRID,330mm
100631,10,9,32,1754,GRID,330mm
100632,10,38,39,428,GRID,330mm
100633,10,24,10,764,GRID,330mm
100634,10,35,34,96,GRID,330mm
100635,10,38,35,762,GRID,330mm
100636,10,39,34,762,GRID,330mm
100637,10,31,30,760,GRID,330mm
100638,10,41,29,94,GRID,330mm
100639,10,35,31,428,GRID,330mm
100640,10,30,20,430,GRID,330mm
100641,10,31,41,758,GRID,330mm
100642,10,24,42,430,GRID,330mm
100643,10,30,41,428,GRID,330mm
100644,10,20,40,426,GRID,330mm
100645,10,39,28,430,GRID,330mm
100646,10,9,33,2420,GRID,330mm
100647,10,12,29,1756,GRID,330mm
100648,10,32,38,426,GRID,330mm
100649,10,28,41,428,GRID,330mm
100650,10,40,34,1424,GRID,330mm
100651,10,26,10,762,GRID,330mm
100652,10,30,15,430,GRID,330mm
100653,10,36,24,430,GRID,330mm
100654,10,11,21,2422,GRID,330mm
100655,10,40,34,1092,GRID,330mm
100656,10,23,40,426,GRID,330mm
100657,10,34,24,1094,GRID,330mm
100658,10,41,29,428,GRID,330mm
100659,11,13,33,430,GRID,330mm
100660,10,33,14,762,GRID,330mm
100661,10,40,18,98,GRID,330mm
100662,10,18,31,2756,GRID,330mm
100663,10,26,14,760,GRID,330mm
100664,10,30,38,426,GRID,330mm
100665,10,22,41,760,GRID,330mm
100666,10,32,28,428,GRID,330mm
100667,10,22,33,764,GRID,330mm
100668,10,29,30,426,GRID,330mm
100669,10,40,31,428,GRID,330mm
100670,10,28,40,94,GRID,330mm
100671,11,9,27,1094,GRID,330mm
100672,10,32,43,758,GRID,330mm
100673,10,19,34,762,GRID,330mm
100674,10,30,33,428,GRID,330mm
100675,10,38,27,760,GRID,330mm
100676,10,40,25,1094,GRID,330mm
100677,10,25,36,428,GRID,330mm
100678,10,32,39,426,GRID,330mm
100679,10,33,8,760,GRID,330mm
100680,11,31,15,432,GRID,330mm
100681,10,33,15,432,GRID,330mm
100682,11,10,36,430,GRID,330mm
100683,10,17,17,434,GRID,330mm
100684,10,32,22,98,GRID,330mm
100685,10,26,42,758,GRID,330mm
100686,10,15,17,1096,GRID,330mm
100687,10,11,41,758,GRID,330mm
100688,11,11,18,762,GRID,330mm
100689,11,17,9,432,GRID,330mm
100690,11,24,8,430,GRID,330mm
100691,10,13,8,432,GRID,330mm
100692,10,19,10,432,GRID,330mm
100693,10,21,9,432,GRID,330mm
100694,10,14,14,434,GRID,330mm
100695,10,26,20,432,GRID,330mm
100696,11,11,10,762,GRID,330mm
100697,10,33,19,762,GRID,330mm
100698,10,35,22,428,GRID,330mm
100699,10,7,31,2752,GRID,330mm
100700,10,9,40,760,GRID,330mm
100701,10,12,9,4092,GRID,330mm
100702,10,30,18,762,GRID,330mm
100703,10,23,28,1090,GRID,330mm
100704,10,26,36,428,GRID,330mm
100705,10,26,28,760,GRID,330mm
100706,10,25,8,428,GRID,330mm
100707,10,6,11,760,GRID,330mm
